id,event,finished,kickoff_time,team_h,team_a,team_h_score,team_a_score
1,1,True,2025-08-15T19:00:00Z,12,4,4.0,2.0
2,1,True,2025-08-16T11:30:00Z,2,15,0.0,0.0
3,1,True,2025-08-16T14:00:00Z,6,10,1.0,1.0
6,1,True,2025-08-16T14:00:00Z,18,3,3.0,0.0
5,1,True,2025-08-16T14:00:00Z,17,19,3.0,0.0
7,1,True,2025-08-16T16:30:00Z,20,13,0.0,4.0
8,1,True,2025-08-17T13:00:00Z,7,8,0.0,0.0
4,1,True,2025-08-17T13:00:00Z,16,5,3.0,1.0
9,1,True,2025-08-17T15:30:00Z,14,1,0.0,1.0
10,1,True,2025-08-18T19:00:00Z,11,9,1.0,0.0
20,2,True,2025-08-22T19:00:00Z,19,7,1.0,5.0
18,2,True,2025-08-23T11:30:00Z,13,18,0.0,2.0
12,2,True,2025-08-23T14:00:00Z,4,20,1.0,0.0
13,2,True,2025-08-23T14:00:00Z,5,2,1.0,0.0
14,2,True,2025-08-23T14:00:00Z,3,17,2.0,0.0
11,2,True,2025-08-23T16:30:00Z,1,11,5.0,0.0
15,2,True,2025-08-24T13:00:00Z,8,16,1.0,1.0
16,2,True,2025-08-24T13:00:00Z,9,6,2.0,0.0
17,2,True,2025-08-24T15:30:00Z,10,14,1.0,1.0
19,2,True,2025-08-25T19:00:00Z,15,12,2.0,3.0
23,3,True,2025-08-30T11:30:00Z,7,10,2.0,0.0
26,3,True,2025-08-30T14:00:00Z,14,3,3.0,2.0
29,3,True,2025-08-30T14:00:00Z,18,4,0.0,1.0
28,3,True,2025-08-30T14:00:00Z,17,5,2.0,1.0
30,3,True,2025-08-30T14:00:00Z,20,9,2.0,3.0
24,3,True,2025-08-30T16:30:00Z,11,15,0.0,0.0
22,3,True,2025-08-31T13:00:00Z,6,13,2.0,1.0
27,3,True,2025-08-31T13:00:00Z,16,19,0.0,3.0
25,3,True,2025-08-31T15:30:00Z,12,1,1.0,0.0
21,3,True,2025-08-31T18:00:00Z,2,8,0.0,3.0
31,4,True,2025-09-13T11:30:00Z,1,16,3.0,0.0
32,4,True,2025-09-13T14:00:00Z,4,6,2.0,1.0
35,4,True,2025-09-13T14:00:00Z,8,17,0.0,0.0
36,4,True,2025-09-13T14:00:00Z,9,2,0.0,0.0
37,4,True,2025-09-13T14:00:00Z,10,11,1.0,0.0
39,4,True,2025-09-13T14:00:00Z,15,20,1.0,0.0
40,4,True,2025-09-13T16:30:00Z,19,18,0.0,3.0
33,4,True,2025-09-13T19:00:00Z,5,7,2.0,2.0
34,4,True,2025-09-14T13:00:00Z,3,12,0.0,1.0
38,4,True,2025-09-14T15:30:00Z,13,14,3.0,0.0
46,5,True,2025-09-20T11:30:00Z,12,9,2.0,1.0
43,5,True,2025-09-20T14:00:00Z,6,18,2.0,2.0
44,5,True,2025-09-20T14:00:00Z,3,16,1.0,1.0
49,5,True,2025-09-20T14:00:00Z,19,8,1.0,2.0
50,5,True,2025-09-20T14:00:00Z,20,11,1.0,3.0
47,5,True,2025-09-20T16:30:00Z,14,7,2.0,1.0
45,5,True,2025-09-20T19:00:00Z,10,5,3.0,1.0
42,5,True,2025-09-21T13:00:00Z,4,15,0.0,0.0
48,5,True,2025-09-21T13:00:00Z,17,2,1.0,1.0
41,5,True,2025-09-21T15:30:00Z,1,13,1.0,1.0
52,6,True,2025-09-27T11:30:00Z,5,14,3.0,1.0
53,6,True,2025-09-27T14:00:00Z,7,6,1.0,3.0
54,6,True,2025-09-27T14:00:00Z,8,12,2.0,1.0
56,6,True,2025-09-27T14:00:00Z,11,4,2.0,2.0
57,6,True,2025-09-27T14:00:00Z,13,3,5.0,1.0
59,6,True,2025-09-27T16:30:00Z,16,17,0.0,1.0
60,6,True,2025-09-27T19:00:00Z,18,20,1.0,1.0
51,6,True,2025-09-28T13:00:00Z,2,10,3.0,1.0
58,6,True,2025-09-28T15:30:00Z,15,1,1.0,2.0
55,6,True,2025-09-29T19:00:00Z,9,19,1.0,1.0
63,7,True,2025-10-03T19:00:00Z,4,10,3.0,1.0
67,7,True,2025-10-04T11:30:00Z,11,18,1.0,2.0
61,7,True,2025-10-04T14:00:00Z,1,19,2.0,0.0
68,7,True,2025-10-04T14:00:00Z,14,17,2.0,0.0
65,7,True,2025-10-04T16:30:00Z,7,12,2.0,1.0
62,7,True,2025-10-05T13:00:00Z,2,3,2.0,1.0
66,7,True,2025-10-05T13:00:00Z,9,8,2.0,1.0
69,7,True,2025-10-05T13:00:00Z,15,16,2.0,0.0
70,7,True,2025-10-05T13:00:00Z,20,6,1.0,1.0
64,7,True,2025-10-05T15:30:00Z,5,13,0.0,1.0
77,8,True,2025-10-18T11:30:00Z,16,7,0.0,3.0
71,8,True,2025-10-18T14:00:00Z,6,15,2.0,1.0
72,8,True,2025-10-18T14:00:00Z,3,11,2.0,0.0
73,8,True,2025-10-18T14:00:00Z,8,4,3.0,3.0
76,8,True,2025-10-18T14:00:00Z,13,9,2.0,0.0
78,8,True,2025-10-18T14:00:00Z,17,20,2.0,0.0
74,8,True,2025-10-18T16:30:00Z,10,1,0.0,1.0
79,8,True,2025-10-19T13:00:00Z,18,2,1.0,2.0
75,8,True,2025-10-19T15:30:00Z,12,14,1.0,2.0
80,8,True,2025-10-20T19:00:00Z,19,5,0.0,2.0
87,9,True,2025-10-24T19:00:00Z,11,19,2.0,1.0
85,9,True,2025-10-25T14:00:00Z,7,17,1.0,2.0
89,9,True,2025-10-25T14:00:00Z,15,10,2.0,1.0
88,9,True,2025-10-25T16:30:00Z,14,6,4.0,2.0
84,9,True,2025-10-25T19:00:00Z,5,12,3.0,2.0
81,9,True,2025-10-26T14:00:00Z,1,8,1.0,0.0
82,9,True,2025-10-26T14:00:00Z,2,13,1.0,0.0
83,9,True,2025-10-26T14:00:00Z,4,16,2.0,0.0
90,9,True,2025-10-26T14:00:00Z,20,3,2.0,3.0
86,9,True,2025-10-26T16:30:00Z,9,18,0.0,3.0
91,10,True,2025-11-01T15:00:00Z,6,11,3.0,0.0
92,10,True,2025-11-01T15:00:00Z,3,1,0.0,2.0
93,10,True,2025-11-01T15:00:00Z,8,5,2.0,0.0
94,10,True,2025-11-01T15:00:00Z,10,20,3.0,0.0
97,10,True,2025-11-01T15:00:00Z,16,14,2.0,2.0
99,10,True,2025-11-01T17:30:00Z,18,7,0.0,1.0
95,10,True,2025-11-01T20:00:00Z,12,2,2.0,0.0
100,10,True,2025-11-02T14:00:00Z,19,15,3.0,1.0
96,10,True,2025-11-02T16:30:00Z,13,4,3.0,1.0
98,10,True,2025-11-03T20:00:00Z,17,9,1.0,1.0
109,11,True,2025-11-08T12:30:00Z,18,14,2.0,2.0
105,11,True,2025-11-08T15:00:00Z,9,10,2.0,0.0
110,11,True,2025-11-08T15:00:00Z,19,3,3.0,2.0
108,11,True,2025-11-08T17:30:00Z,17,1,2.0,2.0
103,11,True,2025-11-08T20:00:00Z,7,20,3.0,0.0
101,11,True,2025-11-09T14:00:00Z,2,4,4.0,0.0
102,11,True,2025-11-09T14:00:00Z,5,15,3.0,1.0
104,11,True,2025-11-09T14:00:00Z,8,6,0.0,0.0
107,11,True,2025-11-09T14:00:00Z,16,11,3.0,1.0
106,11,True,2025-11-09T16:30:00Z,13,12,3.0,0.0
114,12,True,2025-11-22T12:30:00Z,3,7,0.0,2.0
112,12,True,2025-11-22T15:00:00Z,4,19,2.0,2.0
113,12,True,2025-11-22T15:00:00Z,6,5,2.0,1.0
