id,web_name,first_name,second_name,element_type,team,team_code,now_cost,selected_by_percent,status,chance_of_playing_next_round,chance_of_playing_this_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,minutes,total_points,form,ep_next,ep_this,transfers_in_event,transfers_out_event,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ict_index,bps,bonus
266,Eze,Eberechi,Eze,3,1,3,72,8.0,a,100.0,100.0,0.0,0.0,0.0,1655,103,3.0,4.0,4.0,13446,8882,4.13,2.51,6.64,12.51,102.9,395,8
662,Mosquera,Cristhian,Mosquera,2,1,3,53,0.2,a,100.0,100.0,0.0,0.0,0.0,754,29,0.3,1.3,1.3,554,384,0.1,0.51,0.61,6.86,23.4,158,1
725,Hincapie,Piero,Hincapié,2,1,3,51,0.9,a,100.0,100.0,0.0,0.0,0.0,1679,84,3.3,4.3,4.3,12989,1407,0.33,1.65,1.98,16.55,67.5,317,7
759,Salmon,Marli,Salmon,2,1,3,40,0.0,a,,,0.0,0.0,0.0,0,0,0.0,1.0,1.0,14,19,0.0,0.0,0.0,0.0,0.0,0,0
702,Burrowes,Bradley,Burrowes,3,2,7,43,0.1,a,,,0.0,0.0,0.0,16,1,0.0,0.0,0.0,630,167,0.0,0.0,0.0,0.9,0.0,3,0
719,Lindelöf,Victor,Lindelöf,2,2,7,45,0.1,a,100.0,100.0,0.0,0.0,0.0,662,24,0.7,0.7,0.7,61,114,0.28,0.07,0.35,11.9,18.2,99,0
754,George Hemmings,George,Hemmings,3,2,7,45,0.0,a,,,0.0,0.0,0.0,25,2,0.0,0.0,0.0,16,4,0.04,0.01,0.05,0.61,0.3,5,0
757,Hollingshead,Ronnie,Hollingshead,1,2,7,40,0.0,a,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,15,22,0.0,0.0,0.0,0.0,0.0,0,0
666,Gyökeres,Viktor,Gyökeres,4,1,3,88,12.1,a,100.0,100.0,2.0,0.0,0.0,2040,108,2.3,3.3,3.3,15311,30549,10.28,1.78,12.05,15.71,132.8,396,13
700,Dowman,Max,Dowman,3,1,3,42,0.8,a,100.0,100.0,0.0,0.0,0.0,79,12,0.3,1.3,1.3,4198,2536,1.11,0.14,1.25,0.67,13.7,43,0
711,Harriman-Annous,Andre,Harriman-Annous,3,1,3,44,0.0,a,,,0.0,0.0,0.0,0,0,0.0,1.0,1.0,11,9,0.0,0.0,0.0,0.0,0.0,0,0
389,Elliott,Harvey,Elliott,3,2,7,51,0.2,a,100.0,100.0,0.0,0.0,0.0,110,5,0.0,0.0,0.0,50,49,0.29,0.08,0.37,1.74,7.4,17,0
701,Rowe,Triston,Rowe,2,2,7,40,0.1,u,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0,0
768,Leon Routh,Leon,Routh,2,2,7,40,0.0,a,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,16,0.0,0.0,0.0,0.0,0.0,0,0
781,Carroll,TJ,Carroll,2,2,7,40,0.0,a,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,19,17,0.0,0.0,0.0,0.0,0.0,0,0
792,Alysson,Alysson Edward Franco,da Rocha dos Santos,3,2,7,50,0.0,a,100.0,100.0,0.0,0.0,0.0,47,3,0.0,0.0,0.0,6,12,0.05,0.05,0.1,1.87,1.5,11,0
808,Abraham,Tammy,Abraham,4,2,7,58,0.2,a,,,0.0,0.0,0.0,219,22,2.3,2.3,2.3,450,1305,2.05,0.36,2.41,4.16,26.9,91,2
722,Florentino,Florentino Ibrain,Morris Luís,3,3,90,50,0.0,a,,,0.0,0.0,0.0,1822,71,1.7,1.2,0.0,23,34,0.58,0.45,1.03,41.19,60.0,303,0
776,Pimlott,Oliver,Pimlott,3,3,90,45,0.0,a,,,0.0,0.0,0.0,0,0,0.0,-0.5,0.0,10,3,0.0,0.0,0.0,0.0,0.0,0,0
820,McMahon-Brown,Kian,McMahon-Brown,3,3,90,45,0.0,a,,,0.0,0.0,0.0,0,0,0.0,-0.5,0.0,7,3,0.0,0.0,0.0,0.0,0.0,0,0
134,Trevitt,Ryan,Trevitt,3,5,94,45,0.0,u,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
456,Sancho,Jadon,Sancho,3,2,7,58,0.2,a,100.0,100.0,0.0,0.0,6.0,778,34,0.7,0.7,0.7,128,154,0.61,1.84,2.45,12.85,60.7,129,0
688,Wright,James,Wright,1,2,7,39,0.6,a,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,169,0.0,0.0,0.0,0.0,0.0,0,0
