id,event,finished,kickoff_time,team_h,team_a,team_h_score,team_a_score,team_h_difficulty,team_a_difficulty
1,1,True,2025-08-15T19:00:00Z,12,4,4.0,2.0,3,4
2,1,True,2025-08-16T11:30:00Z,2,15,0.0,0.0,3,3
3,1,True,2025-08-16T14:00:00Z,6,10,1.0,1.0,2,3
6,1,True,2025-08-16T14:00:00Z,18,3,3.0,0.0,2,3
5,1,True,2025-08-16T14:00:00Z,17,19,3.0,0.0,2,3
7,1,True,2025-08-16T16:30:00Z,20,13,0.0,4.0,4,2
8,1,True,2025-08-17T13:00:00Z,7,8,0.0,0.0,3,3
4,1,True,2025-08-17T13:00:00Z,16,5,3.0,1.0,3,3
9,1,True,2025-08-17T15:30:00Z,14,1,0.0,1.0,4,3
10,1,True,2025-08-18T19:00:00Z,11,9,1.0,0.0,2,3
20,2,True,2025-08-22T19:00:00Z,19,7,1.0,5.0,3,2
18,2,True,2025-08-23T11:30:00Z,13,18,0.0,2.0,3,4
12,2,True,2025-08-23T14:00:00Z,4,20,1.0,0.0,2,4
13,2,True,2025-08-23T14:00:00Z,5,2,1.0,0.0,3,3
14,2,True,2025-08-23T14:00:00Z,3,17,2.0,0.0,2,2
11,2,True,2025-08-23T16:30:00Z,1,11,5.0,0.0,2,5
15,2,True,2025-08-24T13:00:00Z,8,16,1.0,1.0,2,3
16,2,True,2025-08-24T13:00:00Z,9,6,2.0,0.0,3,3
17,2,True,2025-08-24T15:30:00Z,10,14,1.0,1.0,3,3
19,2,True,2025-08-25T19:00:00Z,15,12,2.0,3.0,4,4
23,3,True,2025-08-30T11:30:00Z,7,10,2.0,0.0,2,3
26,3,True,2025-08-30T14:00:00Z,14,3,3.0,2.0,2,3
29,3,True,2025-08-30T14:00:00Z,18,4,0.0,1.0,3,3
28,3,True,2025-08-30T14:00:00Z,17,5,2.0,1.0,3,3
30,3,True,2025-08-30T14:00:00Z,20,9,2.0,3.0,2,2
24,3,True,2025-08-30T16:30:00Z,11,15,0.0,0.0,3,3
22,3,True,2025-08-31T13:00:00Z,6,13,2.0,1.0,4,3
27,3,True,2025-08-31T13:00:00Z,16,19,0.0,3.0,2,3
25,3,True,2025-08-31T15:30:00Z,12,1,1.0,0.0,4,4
21,3,True,2025-08-31T18:00:00Z,2,8,0.0,3.0,3,3
31,4,True,2025-09-13T11:30:00Z,1,16,3.0,0.0,2,5
32,4,True,2025-09-13T14:00:00Z,4,6,2.0,1.0,3,4
35,4,True,2025-09-13T14:00:00Z,8,17,0.0,0.0,2,3
36,4,True,2025-09-13T14:00:00Z,9,2,0.0,0.0,3,3
37,4,True,2025-09-13T14:00:00Z,10,11,1.0,0.0,2,3
39,4,True,2025-09-13T14:00:00Z,15,20,1.0,0.0,2,4
40,4,True,2025-09-13T16:30:00Z,19,18,0.0,3.0,3,2
33,4,True,2025-09-13T19:00:00Z,5,7,2.0,2.0,3,3
34,4,True,2025-09-14T13:00:00Z,3,12,0.0,1.0,4,2
38,4,True,2025-09-14T15:30:00Z,13,14,3.0,0.0,3,4
46,5,True,2025-09-20T11:30:00Z,12,9,2.0,1.0,2,4
43,5,True,2025-09-20T14:00:00Z,6,18,2.0,2.0,3,3
44,5,True,2025-09-20T14:00:00Z,3,16,1.0,1.0,2,2
49,5,True,2025-09-20T14:00:00Z,19,8,1.0,2.0,3,2
50,5,True,2025-09-20T14:00:00Z,20,11,1.0,3.0,2,2
47,5,True,2025-09-20T16:30:00Z,14,7,2.0,1.0,3,3
45,5,True,2025-09-20T19:00:00Z,10,5,3.0,1.0,3,3
42,5,True,2025-09-21T13:00:00Z,4,15,0.0,0.0,3,4
48,5,True,2025-09-21T13:00:00Z,17,2,1.0,1.0,3,3
41,5,True,2025-09-21T15:30:00Z,1,13,1.0,1.0,4,5
52,6,True,2025-09-27T11:30:00Z,5,14,3.0,1.0,3,3
53,6,True,2025-09-27T14:00:00Z,7,6,1.0,3.0,3,3
54,6,True,2025-09-27T14:00:00Z,8,12,2.0,1.0,4,3
56,6,True,2025-09-27T14:00:00Z,11,4,2.0,2.0,3,3
57,6,True,2025-09-27T14:00:00Z,13,3,5.0,1.0,2,4
59,6,True,2025-09-27T16:30:00Z,16,17,0.0,1.0,2,3
60,6,True,2025-09-27T19:00:00Z,18,20,1.0,1.0,2,3
51,6,True,2025-09-28T13:00:00Z,2,10,3.0,1.0,2,3
58,6,True,2025-09-28T15:30:00Z,15,1,1.0,2.0,4,4
55,6,True,2025-09-29T19:00:00Z,9,19,1.0,1.0,2,3
63,7,True,2025-10-03T19:00:00Z,4,10,3.0,1.0,2,4
67,7,True,2025-10-04T11:30:00Z,11,18,1.0,2.0,3,3
61,7,True,2025-10-04T14:00:00Z,1,19,2.0,0.0,2,5
68,7,True,2025-10-04T14:00:00Z,14,17,2.0,0.0,2,3
65,7,True,2025-10-04T16:30:00Z,7,12,2.0,1.0,4,3
62,7,True,2025-10-05T13:00:00Z,2,3,2.0,1.0,2,3
66,7,True,2025-10-05T13:00:00Z,9,8,2.0,1.0,3,3
69,7,True,2025-10-05T13:00:00Z,15,16,2.0,0.0,2,4
70,7,True,2025-10-05T13:00:00Z,20,6,1.0,1.0,3,2
64,7,True,2025-10-05T15:30:00Z,5,13,0.0,1.0,4,3
77,8,True,2025-10-18T11:30:00Z,16,7,0.0,3.0,3,3
71,8,True,2025-10-18T14:00:00Z,6,15,2.0,1.0,3,3
72,8,True,2025-10-18T14:00:00Z,3,11,2.0,0.0,2,2
73,8,True,2025-10-18T14:00:00Z,8,4,3.0,3.0,3,3
76,8,True,2025-10-18T14:00:00Z,13,9,2.0,0.0,2,4
78,8,True,2025-10-18T14:00:00Z,17,20,2.0,0.0,2,3
74,8,True,2025-10-18T16:30:00Z,10,1,0.0,1.0,4,3
79,8,True,2025-10-19T13:00:00Z,18,2,1.0,2.0,3,3
75,8,True,2025-10-19T15:30:00Z,12,14,1.0,2.0,3,4
80,8,True,2025-10-20T19:00:00Z,19,5,0.0,2.0,3,2
87,9,True,2025-10-24T19:00:00Z,11,19,2.0,1.0,2,3
85,9,True,2025-10-25T14:00:00Z,7,17,1.0,2.0,2,3
89,9,True,2025-10-25T14:00:00Z,15,10,2.0,1.0,2,4
88,9,True,2025-10-25T16:30:00Z,14,6,4.0,2.0,3,3
84,9,True,2025-10-25T19:00:00Z,5,12,3.0,2.0,4,3
81,9,True,2025-10-26T14:00:00Z,1,8,1.0,0.0,3,5
82,9,True,2025-10-26T14:00:00Z,2,13,1.0,0.0,4,3
83,9,True,2025-10-26T14:00:00Z,4,16,2.0,0.0,2,4
90,9,True,2025-10-26T14:00:00Z,20,3,2.0,3.0,2,2
86,9,True,2025-10-26T16:30:00Z,9,18,0.0,3.0,3,3
91,10,True,2025-11-01T15:00:00Z,6,11,3.0,0.0,2,3
92,10,True,2025-11-01T15:00:00Z,3,1,0.0,2.0,4,2
93,10,True,2025-11-01T15:00:00Z,8,5,2.0,0.0,3,3
94,10,True,2025-11-01T15:00:00Z,10,20,3.0,0.0,2,3
97,10,True,2025-11-01T15:00:00Z,16,14,2.0,2.0,3,3
99,10,True,2025-11-01T17:30:00Z,18,7,0.0,1.0,3,3
95,10,True,2025-11-01T20:00:00Z,12,2,2.0,0.0,3,4
100,10,True,2025-11-02T14:00:00Z,19,15,3.0,1.0,3,2
96,10,True,2025-11-02T16:30:00Z,13,4,3.0,1.0,3,4
98,10,True,2025-11-03T20:00:00Z,17,9,1.0,1.0,2,3
109,11,True,2025-11-08T12:30:00Z,18,14,2.0,2.0,3,3
105,11,True,2025-11-08T15:00:00Z,9,10,2.0,0.0,2,3
110,11,True,2025-11-08T15:00:00Z,19,3,3.0,2.0,2,2
108,11,True,2025-11-08T17:30:00Z,17,1,2.0,2.0,4,3
103,11,True,2025-11-08T20:00:00Z,7,20,3.0,0.0,2,3
101,11,True,2025-11-09T14:00:00Z,2,4,4.0,0.0,3,3
102,11,True,2025-11-09T14:00:00Z,5,15,3.0,1.0,3,3
104,11,True,2025-11-09T14:00:00Z,8,6,0.0,0.0,3,3
107,11,True,2025-11-09T14:00:00Z,16,11,3.0,1.0,2,3
106,11,True,2025-11-09T16:30:00Z,13,12,3.0,0.0,4,4
114,12,True,2025-11-22T12:30:00Z,3,7,0.0,2.0,3,2
112,12,True,2025-11-22T15:00:00Z,4,19,2.0,2.0,2,4
113,12,True,2025-11-22T15:00:00Z,6,5,2.0,1.0,3,3
115,12,True,2025-11-22T15:00:00Z,10,17,1.0,0.0,2,3
117,12,True,2025-11-22T15:00:00Z,12,16,0.0,3.0,2,4
120,12,True,2025-11-22T15:00:00Z,20,8,0.0,2.0,3,2
119,12,True,2025-11-22T17:30:00Z,15,13,2.0,1.0,4,4
116,12,True,2025-11-23T14:00:00Z,11,2,1.0,2.0,3,3
111,12,True,2025-11-23T16:30:00Z,1,18,4.0,1.0,3,5
118,12,True,2025-11-24T20:00:00Z,14,9,0.0,1.0,2,3
122,13,True,2025-11-29T15:00:00Z,5,3,3.0,1.0,2,3
126,13,True,2025-11-29T15:00:00Z,13,11,3.0,2.0,2,4
128,13,True,2025-11-29T15:00:00Z,17,4,3.0,2.0,3,3
125,13,True,2025-11-29T17:30:00Z,9,15,1.0,4.0,3,3
129,13,True,2025-11-29T20:00:00Z,18,10,1.0,2.0,2,3
124,13,True,2025-11-30T12:00:00Z,8,14,1.0,2.0,3,3
121,13,True,2025-11-30T14:05:00Z,2,20,1.0,0.0,2,3
127,13,True,2025-11-30T14:05:00Z,16,6,0.0,2.0,3,3
130,13,True,2025-11-30T14:05:00Z,19,12,0.0,2.0,4,2
123,13,True,2025-11-30T16:30:00Z,7,1,1.0,1.0,4,3
132,14,True,2025-12-02T19:30:00Z,4,9,0.0,1.0,2,4
135,14,True,2025-12-02T19:30:00Z,10,13,4.0,5.0,4,3
139,14,True,2025-12-02T20:15:00Z,15,18,2.0,2.0,3,4
131,14,True,2025-12-03T19:30:00Z,1,5,2.0,0.0,3,5
133,14,True,2025-12-03T19:30:00Z,6,2,3.0,4.0,3,3
134,14,True,2025-12-03T19:30:00Z,3,8,0.0,1.0,3,2
140,14,True,2025-12-03T19:30:00Z,20,16,0.0,1.0,2,2
136,14,True,2025-12-03T20:15:00Z,11,7,3.0,1.0,3,3
137,14,True,2025-12-03T20:15:00Z,12,17,1.0,1.0,2,4
138,14,True,2025-12-04T20:00:00Z,14,19,1.0,1.0,2,3
141,15,True,2025-12-06T12:30:00Z,2,1,2.0,1.0,4,3
142,15,True,2025-12-06T15:00:00Z,4,7,0.0,0.0,3,4
144,15,True,2025-12-06T15:00:00Z,9,16,3.0,0.0,2,3
147,15,True,2025-12-06T15:00:00Z,13,17,3.0,0.0,2,4
148,15,True,2025-12-06T15:00:00Z,15,3,2.0,1.0,2,4
149,15,True,2025-12-06T15:00:00Z,18,5,2.0,0.0,3,3
146,15,True,2025-12-06T17:30:00Z,11,12,3.0,3.0,4,3
143,15,True,2025-12-07T14:00:00Z,6,19,1.0,1.0,2,3
145,15,True,2025-12-07T16:30:00Z,10,8,1.0,2.0,3,3
150,15,True,2025-12-08T20:00:00Z,20,14,1.0,4.0,3,2
154,16,True,2025-12-13T15:00:00Z,7,9,2.0,0.0,2,3
156,16,True,2025-12-13T15:00:00Z,12,6,2.0,0.0,3,4
153,16,True,2025-12-13T17:30:00Z,3,10,2.0,3.0,2,2
151,16,True,2025-12-13T20:00:00Z,1,20,2.0,1.0,2,5
155,16,True,2025-12-14T14:00:00Z,8,13,0.0,3.0,4,3
158,16,True,2025-12-14T14:00:00Z,16,18,3.0,0.0,3,3
159,16,True,2025-12-14T14:00:00Z,17,15,1.0,0.0,3,3
160,16,True,2025-12-14T14:00:00Z,19,2,2.0,3.0,3,2
152,16,True,2025-12-14T16:30:00Z,5,11,1.0,1.0,2,3
157,16,True,2025-12-15T20:00:00Z,14,4,4.0,4.0,3,3
168,17,True,2025-12-20T12:30:00Z,15,7,2.0,2.0,3,4
162,17,True,2025-12-20T15:00:00Z,4,3,1.0,1.0,2,4
163,17,True,2025-12-20T15:00:00Z,6,17,0.0,0.0,2,3
167,17,True,2025-12-20T15:00:00Z,13,19,3.0,0.0,2,4
170,17,True,2025-12-20T15:00:00Z,20,5,0.0,2.0,3,2
169,17,True,2025-12-20T17:30:00Z,18,12,1.0,2.0,4,3
164,17,True,2025-12-20T20:00:00Z,9,1,0.0,1.0,4,3
166,17,True,2025-12-20T20:00:00Z,11,8,4.0,1.0,3,3
161,17,True,2025-12-21T16:30:00Z,2,14,2.0,1.0,3,3
165,17,True,2025-12-22T20:00:00Z,10,16,1.0,0.0,2,3
177,18,True,2025-12-26T20:00:00Z,14,15,1.0,0.0,3,3
178,18,True,2025-12-27T12:30:00Z,16,13,1.0,2.0,4,3
171,18,True,2025-12-27T15:00:00Z,1,6,2.0,1.0,3,5
172,18,True,2025-12-27T15:00:00Z,5,4,4.0,1.0,3,3
173,18,True,2025-12-27T15:00:00Z,3,9,0.0,0.0,2,2
176,18,True,2025-12-27T15:00:00Z,12,20,2.0,1.0,2,4
180,18,True,2025-12-27T15:00:00Z,19,10,0.0,1.0,2,2
174,18,True,2025-12-27T17:30:00Z,7,2,1.0,2.0,3,3
179,18,True,2025-12-28T14:00:00Z,17,11,1.0,1.0,2,3
175,18,True,2025-12-28T16:30:00Z,8,18,0.0,1.0,3,3
183,19,True,2025-12-30T19:30:00Z,3,15,1.0,3.0,3,2
184,19,True,2025-12-30T19:30:00Z,7,4,2.0,2.0,3,3
188,19,True,2025-12-30T19:30:00Z,16,9,0.0,2.0,2,3
190,19,True,2025-12-30T19:30:00Z,19,6,2.0,2.0,3,2
181,19,True,2025-12-30T20:15:00Z,1,2,4.0,1.0,3,5
