element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
1.0,9.0,14.0,10.0,False,2025-08-17T15:30:00Z,0.0,1.0,1.0,False,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,38.0,49.2,0.0,0.0,4.9,1.0,13.0,0.0,0.0,1.0,0.00,0.00,0.00,1.52,55.0,0.0,1531911.0,0.0,0.0,1
1.0,11.0,11.0,6.0,True,2025-08-23T16:30:00Z,5.0,0.0,2.0,False,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,13.4,0.0,0.0,1.3,0.0,3.0,0.0,0.0,1.0,0.00,0.00,0.00,0.17,55.0,218659.0,2284634.0,277339.0,58680.0,1
1.0,25.0,12.0,2.0,False,2025-08-31T15:30:00Z,1.0,0.0,3.0,False,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,20.0,10.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.00,0.02,0.02,0.52,55.0,-12311.0,2406964.0,146739.0,159050.0,1
1.0,31.0,16.0,6.0,True,2025-09-13T11:30:00Z,3.0,0.0,4.0,False,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,12.8,0.0,0.0,1.3,0.0,9.0,0.0,0.0,1.0,0.00,0.00,0.00,0.20,55.0,171289.0,2765759.0,289041.0,117752.0,1
1.0,41.0,13.0,2.0,True,2025-09-21T15:30:00Z,1.0,1.0,5.0,False,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,21.4,0.0,0.0,2.1,1.0,6.0,0.0,0.0,1.0,0.00,0.01,0.01,0.89,55.0,-9786.0,2762632.0,98100.0,107886.0,1
1.0,58.0,15.0,2.0,False,2025-09-28T15:30:00Z,1.0,2.0,6.0,False,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,15.8,0.0,0.0,1.6,2.0,10.0,0.0,0.0,1.0,0.00,0.01,0.01,0.61,56.0,227251.0,3029654.0,357846.0,130595.0,1
1.0,61.0,19.0,6.0,True,2025-10-04T14:00:00Z,2.0,0.0,7.0,False,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.2,0.0,0.0,0.3,0.0,8.0,0.0,0.0,1.0,0.00,0.00,0.00,0.49,56.0,212315.0,3297838.0,287510.0,75195.0,1
1.0,74.0,10.0,6.0,False,2025-10-18T16:30:00Z,0.0,1.0,8.0,False,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.6,0.0,0.0,0.5,2.0,7.0,0.0,0.0,1.0,0.00,0.00,0.00,0.44,57.0,120482.0,3447590.0,208192.0,87710.0,1
1.0,81.0,8.0,6.0,True,2025-10-26T14:00:00Z,1.0,0.0,9.0,False,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,15.0,0.1,0.0,1.5,2.0,10.0,0.0,0.0,1.0,0.00,0.00,0.00,0.47,57.0,81905.0,3546345.0,131150.0,49245.0,1
1.0,92.0,3.0,6.0,False,2025-11-01T15:00:00Z,0.0,2.0,10.0,False,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.8,0.1,0.0,0.3,1.0,7.0,0.0,0.0,1.0,0.00,0.00,0.00,0.42,58.0,227648.0,3816996.0,267422.0,39774.0,1
1.0,108.0,17.0,1.0,False,2025-11-08T17:30:00Z,2.0,2.0,11.0,False,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.6,0.0,0.0,0.2,0.0,2.0,0.0,0.0,1.0,0.00,0.00,0.00,0.44,59.0,180430.0,4024229.0,210442.0,30012.0,1
1.0,111.0,18.0,2.0,True,2025-11-23T16:30:00Z,4.0,1.0,12.0,False,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.6,0.0,0.0,0.7,0.0,5.0,0.0,0.0,1.0,0.00,0.00,0.00,0.07,59.0,3055.0,4013556.0,81056.0,78001.0,1
1.0,123.0,7.0,3.0,False,2025-11-30T16:30:00Z,1.0,1.0,13.0,False,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,20.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.00,0.00,0.00,0.79,59.0,-37310.0,3844111.0,41034.0,78344.0,1
1.0,131.0,5.0,6.0,True,2025-12-03T19:30:00Z,2.0,0.0,14.0,False,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,15.0,0.0,0.0,1.5,2.0,12.0,0.0,0.0,1.0,0.00,0.00,0.00,0.35,59.0,76542.0,4109145.0,105123.0,28581.0,1
1.0,141.0,2.0,2.0,False,2025-12-06T12:30:00Z,2.0,1.0,15.0,False,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,35.2,0.0,0.0,3.5,0.0,7.0,0.0,0.0,1.0,0.00,0.00,0.00,2.16,59.0,124671.0,4221133.0,152709.0,28038.0,1
1.0,151.0,20.0,2.0,True,2025-12-13T20:00:00Z,2.0,1.0,16.0,False,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,13.6,0.1,0.0,1.4,1.0,9.0,0.0,0.0,1.0,0.00,0.00,0.00,0.38,60.0,371508.0,4668846.0,429199.0,57691.0,1
1.0,164.0,9.0,7.0,False,2025-12-20T20:00:00Z,0.0,1.0,17.0,False,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,16.6,0.0,0.0,1.7,1.0,14.0,0.0,0.0,1.0,0.00,0.00,0.00,0.20,60.0,-23521.0,4608882.0,67109.0,90630.0,1
1.0,171.0,6.0,2.0,True,2025-12-27T15:00:00Z,2.0,1.0,18.0,False,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,21.8,10.0,0.0,3.2,0.0,6.0,0.0,0.0,1.0,0.00,0.00,0.00,0.85,60.0,-10413.0,4572955.0,53156.0,63569.0,1
1.0,181.0,2.0,2.0,True,2025-12-30T20:15:00Z,4.0,1.0,19.0,False,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,20.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,1.0,0.00,0.00,0.00,2.67,60.0,-67402.0,4431485.0,29380.0,96782.0,1
1.0,192.0,4.0,1.0,False,2026-01-03T17:30:00Z,2.0,3.0,20.0,False,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.2,0.0,0.0,0.7,0.0,8.0,0.0,0.0,1.0,0.00,0.00,0.00,1.43,60.0,-96397.0,4469007.0,40492.0,136889.0,1
1.0,201.0,12.0,6.0,True,2026-01-08T20:00:00Z,0.0,0.0,21.0,False,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.4,0.0,0.0,0.4,1.0,4.0,0.0,0.0,1.0,0.00,0.00,0.00,0.36,60.0,-177932.0,4289085.0,27025.0,204957.0,1
1.0,217.0,16.0,6.0,False,2026-01-17T17:30:00Z,0.0,0.0,22.0,False,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,6.2,0.0,0.0,0.6,2.0,7.0,1.0,0.0,1.0,0.00,0.00,0.00,0.34,59.0,-12759.0,4309674.0,87850.0,100609.0,1
2.0,9.0,14.0,0.0,False,2025-08-17T15:30:00Z,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,45.0,0.0,90618.0,0.0,0.0,2
2.0,11.0,11.0,0.0,True,2025-08-23T16:30:00Z,5.0,0.0,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,45.0,-9834.0,89793.0,2130.0,11964.0,2
2.0,25.0,12.0,0.0,False,2025-08-31T15:30:00Z,1.0,0.0,3.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,44.0,-11575.0,81016.0,1131.0,12706.0,2
2.0,31.0,16.0,0.0,True,2025-09-13T11:30:00Z,3.0,0.0,4.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,44.0,-6913.0,76258.0,1271.0,8184.0,2
2.0,41.0,13.0,0.0,True,2025-09-21T15:30:00Z,1.0,1.0,5.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,44.0,-5570.0,71572.0,689.0,6259.0,2
2.0,58.0,15.0,0.0,False,2025-09-28T15:30:00Z,1.0,2.0,6.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,43.0,-4229.0,67990.0,713.0,4942.0,2
2.0,61.0,19.0,0.0,True,2025-10-04T14:00:00Z,2.0,0.0,7.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,43.0,-3442.0,64932.0,461.0,3903.0,2
2.0,74.0,10.0,0.0,False,2025-10-18T16:30:00Z,0.0,1.0,8.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,43.0,-3767.0,61782.0,442.0,4209.0,2
2.0,81.0,8.0,0.0,True,2025-10-26T14:00:00Z,1.0,0.0,9.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,43.0,-2402.0,59724.0,221.0,2623.0,2
2.0,92.0,3.0,0.0,False,2025-11-01T15:00:00Z,0.0,2.0,10.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,42.0,-2150.0,57825.0,423.0,2573.0,2
2.0,108.0,17.0,0.0,False,2025-11-08T17:30:00Z,2.0,2.0,11.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,42.0,-2012.0,56075.0,386.0,2398.0,2
2.0,111.0,18.0,0.0,True,2025-11-23T16:30:00Z,4.0,1.0,12.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,42.0,-1215.0,55291.0,404.0,1619.0,2
2.0,123.0,7.0,0.0,False,2025-11-30T16:30:00Z,1.0,1.0,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,42.0,-1178.0,54420.0,238.0,1416.0,2
2.0,131.0,5.0,0.0,True,2025-12-03T19:30:00Z,2.0,0.0,14.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,42.0,-668.0,53843.0,244.0,912.0,2
2.0,141.0,2.0,0.0,False,2025-12-06T12:30:00Z,2.0,1.0,15.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,42.0,-794.0,53294.0,378.0,1172.0,2
2.0,151.0,20.0,0.0,True,2025-12-13T20:00:00Z,2.0,1.0,16.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,41.0,-1491.0,51955.0,811.0,2302.0,2
2.0,164.0,9.0,0.0,False,2025-12-20T20:00:00Z,0.0,1.0,17.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,41.0,-499.0,51812.0,666.0,1165.0,2
2.0,171.0,6.0,0.0,True,2025-12-27T15:00:00Z,2.0,1.0,18.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,41.0,-510.0,51553.0,573.0,1083.0,2
2.0,181.0,2.0,0.0,True,2025-12-30T20:15:00Z,4.0,1.0,19.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,41.0,-382.0,51712.0,380.0,762.0,2
2.0,192.0,4.0,0.0,False,2026-01-03T17:30:00Z,2.0,3.0,20.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,41.0,-273.0,51046.0,315.0,588.0,2
2.0,201.0,12.0,0.0,True,2026-01-08T20:00:00Z,0.0,0.0,21.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,41.0,-455.0,50726.0,283.0,738.0,2
2.0,217.0,16.0,0.0,False,2026-01-17T17:30:00Z,0.0,0.0,22.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,41.0,-598.0,50287.0,390.0,988.0,2
