id,name,team_id,pos_id,price,horizon_xp,next_gw_xp,risk_variance,xp_33,xp_34,xp_35,xp_36,xp_37,is_captain_choice
200,Anthony,3,3,5.0,4.503651769418421,4.503651769418421,3.052861665614103,4.503651769418421,0.0,0.0,0.0,0.0,0
215,Flemming,3,4,5.3,4.699742860700128,4.699742860700128,3.093319810653336,4.699742860700128,0.0,0.0,0.0,0.0,0
67,Petrović,4,1,4.6,3.7887781728726626,3.7887781728726626,2.655670286430853,3.7887781728726626,0.0,0.0,0.0,0.0,0
107,Lewis-Potter,5,2,4.8,3.5824567821132907,3.5824567821132907,4.064815773528645,3.5824567821132907,0.0,0.0,0.0,0.0,0
113,Van den Berg,5,2,4.6,3.5922077658196945,3.5922077658196945,2.48746859276655,3.5922077658196945,0.0,0.0,0.0,0.0,0
136,Thiago,5,4,7.4,5.02696839730079,5.02696839730079,4.439620172123655,5.02696839730079,0.0,0.0,0.0,0.0,1
163,Hinshelwood,6,3,5.1,3.6324133803519487,3.6324133803519487,2.2310800882243784,3.6324133803519487,0.0,0.0,0.0,0.0,0
178,Welbeck,6,4,6.3,4.012542069512023,4.012542069512023,3.6519718503463197,4.012542069512023,0.0,0.0,0.0,0.0,0
242,Dewsbury-Hall,9,3,5.1,3.7678309136539023,3.7678309136539023,4.5,3.7678309136539023,0.0,0.0,0.0,0.0,0
449,B.Fernandes,14,3,10.3,4.2372574588468455,4.2372574588468455,4.753188722352925,4.2372574588468455,0.0,0.0,0.0,0.0,0
473,Hall,15,2,5.4,3.6004005489711655,3.6004005489711655,2.4370871833797696,3.6004005489711655,0.0,0.0,0.0,0.0,0
684,Thiaw,15,2,5.1,3.770898144686538,3.770898144686538,4.458775820579211,3.770898144686538,0.0,0.0,0.0,0.0,0
502,Sels,16,1,4.6,3.573537542647878,3.573537542647878,2.4382526033156937,3.573537542647878,0.0,0.0,0.0,0.0,0
508,N.Williams,16,2,4.8,3.72790835519777,3.72790835519777,4.206326404141958,3.72790835519777,0.0,0.0,0.0,0.0,0
515,Gibbs-White,16,3,7.5,4.130555985094104,4.130555985094104,3.940850546557561,4.130555985094104,0.0,0.0,0.0,0.0,0
