gw,xi_pts,cap_id,cap_pts,bench_pts,chip,hits,transfers_in,gw_total,bank
1,47.0,30,1.0,0.0,,0,0,48.0,0.0
2,50.0,200,13.0,0.0,,0,0,63.0,0.0
3,54.0,449,10.0,0.0,,1,4,60.0,0.6
4,65.0,430,13.0,6.0,BB,0,1,84.0,0.6
5,73.0,660,15.0,0.0,,0,1,88.0,0.6
6,82.0,430,16.0,0.0,,0,1,98.0,1.1
7,65.0,449,3.0,0.0,,0,1,68.0,0.9
8,66.0,430,13.0,0.0,,0,1,79.0,1.0
9,42.0,136,5.0,0.0,,0,0,47.0,1.0
10,66.0,430,13.0,0.0,,0,2,79.0,1.1
11,50.0,430,4.0,0.0,,0,1,54.0,0.3
12,43.0,21,6.0,0.0,,0,1,49.0,3.5
13,35.0,430,2.0,0.0,,0,1,37.0,2.7
14,61.0,430,14.0,0.0,,0,1,75.0,0.4
15,59.0,430,2.0,0.0,,0,1,61.0,2.4
16,52.0,430,13.0,0.0,,0,1,65.0,2.4
17,69.0,430,16.0,0.0,,0,0,85.0,2.4
18,23.0,136,5.0,0.0,,0,2,28.0,0.5
19,17.0,714,2.0,0.0,TC,0,1,19.0,0.7
20,65.0,16,4.0,0.0,,1,2,65.0,1.0
21,57.0,136,12.0,0.0,,1,2,65.0,0.5
22,47.0,237,6.0,0.0,,1,2,49.0,6.9
23,54.0,21,1.0,0.0,,0,1,55.0,6.3
24,128.0,249,10.0,9.0,BB,0,1,147.0,6.4
25,43.0,249,8.0,0.0,,0,1,51.0,3.1
26,80.0,21,14.0,0.0,,0,1,94.0,3.3
27,42.0,21,4.0,0.0,,1,2,42.0,3.0
28,57.0,136,6.0,0.0,,0,1,63.0,2.6
29,68.0,249,19.0,0.0,,0,0,87.0,2.6
30,81.0,449,10.0,0.0,,0,2,91.0,2.5
31,39.0,449,13.0,0.0,,1,2,48.0,6.0
32,80.0,624,14.0,0.0,,0,1,94.0,5.4
33,71.0,691,8.0,0.0,,0,1,79.0,7.1
34,42.0,449,5.0,0.0,,1,2,43.0,7.6
35,57.0,136,6.0,0.0,,0,1,63.0,5.8
36,38.0,417,1.0,0.0,,0,0,39.0,5.8
