gw,xi_pts,cap_id,cap_pts,bench_pts,chip,hits,transfers_in,gw_total,bank
1,38.0,614,2.0,0.0,,0,0,40.0,0.0
2,83.0,200,13.0,0.0,,0,0,96.0,0.0
3,55.0,449,10.0,0.0,,1,4,61.0,0.5
4,46.0,430,13.0,8.0,BB,1,2,63.0,1.4
5,53.0,365,1.0,0.0,,1,1,50.0,2.2
6,71.0,430,16.0,0.0,FH,1,2,83.0,1.4
7,45.0,449,3.0,0.0,,1,2,44.0,2.1
8,72.0,430,13.0,0.0,WC,0,9,85.0,0.1
9,42.0,136,5.0,0.0,,0,0,47.0,0.1
10,74.0,430,13.0,0.0,,0,1,87.0,0.9
11,52.0,430,4.0,0.0,,0,1,56.0,0.2
12,60.0,517,9.0,0.0,,0,0,69.0,0.2
13,42.0,430,2.0,0.0,,0,2,44.0,0.8
14,67.0,430,14.0,0.0,,0,0,81.0,0.8
15,33.0,430,2.0,0.0,,0,2,35.0,0.6
16,42.0,430,13.0,0.0,,0,1,55.0,2.0
17,77.0,430,16.0,0.0,,1,2,89.0,0.8
18,31.0,136,5.0,0.0,,0,0,36.0,0.8
19,32.0,16,12.0,0.0,TC,0,0,44.0,0.8
20,59.0,136,17.0,0.0,,0,3,76.0,2.5
21,73.0,136,12.0,5.0,BB,0,0,90.0,2.5
22,49.0,237,6.0,0.0,,0,2,55.0,0.8
23,43.0,430,1.0,0.0,,0,0,44.0,0.8
24,52.0,249,10.0,0.0,,0,2,62.0,0.9
25,53.0,249,8.0,0.0,,0,1,61.0,-0.0
26,68.0,21,14.0,0.0,WC,0,9,82.0,0.1
27,59.0,21,4.0,0.0,,0,1,63.0,0.0
28,52.0,136,6.0,0.0,,1,2,54.0,2.0
29,65.0,249,19.0,0.0,,0,1,84.0,3.6
30,77.0,449,10.0,0.0,,1,2,83.0,3.9
31,54.0,515,8.0,0.0,,1,2,58.0,3.9
32,72.0,624,14.0,0.0,,0,1,86.0,4.1
33,106.0,691,8.0,0.0,FH,1,2,110.0,7.3
34,45.0,624,10.0,0.0,,1,2,51.0,-0.4
35,43.0,21,5.0,0.0,,1,2,44.0,0.6
36,31.0,624,2.0,0.0,,0,1,33.0,0.6
37,47.0,449,9.0,0.0,,0,1,56.0,0.5
38,51.0,449,28.0,0.0,TC,0,1,79.0,0.9
