team_id,team_name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,elo,code,fotmob_name
1,Arsenal,ARS,,4,5,0,0,0,0,2064,3,
2,Aston Villa,AVL,,3,4,0,0,0,0,1921,7,
3,Bournemouth,BOU,,3,3,0,0,0,0,1872,91,
4,Brentford,BRE,,3,3,0,0,0,0,1837,94,
5,Brighton,BHA,,2,3,0,0,0,0,1842,36,
6,Chelsea,CHE,,4,4,0,0,0,0,1831,8,
7,Coventry City,COV,,2,2,0,0,0,0,1661,9,
8,Crystal Palace,CRY,,3,3,0,0,0,0,1804,31,
9,Everton,EVE,,3,3,0,0,0,0,1803,11,
10,Fulham,FUL,,2,3,0,0,0,0,1813,54,
11,Hull City,HUL,,2,2,0,0,0,0,1533,88,
12,Ipswich Town,IPS,,2,2,0,0,0,0,1640,40,
13,Leeds,LEE,,2,3,0,0,0,0,1797,2,
14,Liverpool,LIV,,4,4,0,0,0,0,1911,14,
15,Man City,MCI,,4,5,0,0,0,0,1971,43,
16,Man Utd,MUN,,4,4,0,0,0,0,1915,1,
17,Newcastle,NEW,,2,3,0,0,0,0,1838,4,
18,Nott'm Forest,NFO,,3,3,0,0,0,0,1822,17,
19,Spurs,TOT,,3,3,0,0,0,0,1777,6,
20,Sunderland,SUN,,2,3,0,0,0,0,1736,56,
